cve_edo,Municipio,PD1,PD2,PD3,Total
7, OCOZOCOAUTLA DE ES,5302496.61,5376842.8,3674070.12,14353409.53
7, OSTUACAN,602090.13,2011850.35,345578.25,2959518.73
7, OSUMACINTA,0,0,46157.5,46157.5
7, PALENQUE,41032437.25,12891303.88,19981061.4,73904802.53
7, PANTELHO,77223.23,0,0,77223.23
7, PANTEPEC,5963.98,894.62,0,6858.6
7, PICHUCALCO,457319.51,1516537.19,3376409.42,5350266.12
7, PIJIJIAPAN,2051024.63,769719.89,8272269.74,11093014.26
7, PUEBLO NUEVO COMAL,2416221.04,929747.68,6127152.94,9473121.66
7, PUEBLO NUEVO SOLIS,197983.92,0,0,197983.92
7, RAYON,1501.22,806.51,0,2307.73
7, REFORMA,4912.07,1915000,5340900.96,7260813.03
7, SABANILLAS,2115.04,0,0,2115.04
7, SALTO DEL AGUA,2378201.27,1862062.83,514316.94,4754581.04
7, SAN CRISTOBAL DE L,4104.33,1710807.8,852312.56,2567224.69
7, SAN FERNANDO,6944241.95,488962.53,0,7433204.48
7, SIMOJOVEL DE ALLEN,142282.81,20628.42,0,162911.23
7, SOCOLTENANGO,97835274.74,5787747.07,13111223.48,116734245.29
7, SOLUSUCHIAPA,333980.26,1059580.23,554764.55,1948325.04
7, SOYALO,261986.83,10209.44,0,272196.27
7, SUCHIAPA,5241336.78,849661.94,1171607.09,7262605.81
7, SUCHIATE,396254.46,10026266.73,12455957.59,22878478.78
7, SUNUAPA,19008.12,0,1080742.15,1099750.27
7, TAPACHULA,46230182.56,5444191.61,80441437.33,132115811.5
7, TAPALAPA,8010.72,0,0,8010.72
7, TAPILULA,226903.68,269218.58,0,496122.26
7, TECPATAN,3186600.19,3034262.22,3343706.97,9564569.38
7, TENEJAPA,0,394769.71,0,394769.71
7, TEOPISCA,271308.11,0,0,271308.11
7, TILA,861667.76,69475.29,0,931143.05
7, TONALA,38489994.43,25577712.58,11207776.51,75275483.52
7, TOTOLAPA,93225.27,35579.42,0,128804.69
7, LA TRINITARIA,1776681.59,848475.64,0,2625157.23
7, TUMBALA,615165.52,160225.25,0,775390.77
7, TUXTLA GUTIERREZ,75076453.47,61792354.42,462431733,599300540.89
7, TUXTLA CHICO,487031.97,73225.85,18373.63,578631.45
7, TUZANTAN,1487082.17,62690,0,1549772.17
7, TZIMOL,137053.19,28402.27,0,165455.46
7, UNION JUAREZ,342906.7,0,0,342906.7
7, VENUSTIANO CARRANZ,8002097.65,5765240.03,1054895.96,14822233.64
7, ANGEL A CORZO (JAL,19782686.71,1065933.91,715625.5,21564246.12
7, VILLA FLORES,114453338.96,28897249.53,4688163.09,148038751.58
7, YAJALON,1164952.82,4410035.19,24345899.57,29920887.58
7, SAN LUCAS (EL ZAPO,3049.51,0,0,3049.51
7, ZINACANTAN,3459.83,0,0,3459.83
8, ALDAMA,0,294632.52,11645944.74,11940577.26
